created,full_resolution_time,from_last_update,from_create_to_update,issue_type,priority,description_length,summary_length,watch_count,comment_count,reporter_mean_FRT,reporter_mean_FLU,reporter_mean_FCTU,reporter,key,num_of_trans,classes_by_frt,classes_by_flu,classes_by_fctu,assignee_mean_FRT,assignee_mean_FLU,assignee_mean_FCTU
2018-04-17T21:53:05.730+0000,0.0,0.0,323491.01900000003,2,4,233.0,43,1,1,0.0,0.0,323610.3785,rlenferink,AVRO-2171,3,0,0,1,0.0,0.0,323610.3785
2018-04-17T21:47:11.197+0000,0.0,0.0,323729.738,2,2,528.0,68,2,1,0.0,0.0,323610.3785,rlenferink,AVRO-2170,3,0,0,1,0.0,0.0,323610.3785
2018-04-06T13:45:28.721+0000,1529370.0410000002,0.02,1529370.061,2,4,1062.0,75,1,0,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2169,2,3,0,3,0.0,0.0,0.0
2018-04-05T13:21:01.183+0000,1617216.1560000002,0.021,1617216.1770000001,6,4,272.0,64,1,1,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2168,2,3,0,3,0.0,0.0,0.0
2018-04-04T16:39:43.364+0000,1691672.465,0.02,1691672.485,6,4,674.0,53,1,0,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2167,2,3,0,3,0.0,0.0,0.0
2018-04-04T16:29:37.306+0000,1692180.229,0.021,1692180.25,6,4,1043.0,39,2,1,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2166,2,3,0,3,0.0,0.0,0.0
2018-04-01T13:08:48.480+0000,0.0,0.0,632.152,2,2,307.0,57,1,1,821572.1404696972,7208731.155333335,7910457.457835821,thiru_mg,AVRO-2165,2,0,0,0,0.0,0.0,0.0
2018-03-23T13:13:13.286+0000,0.0,0.0,14575.135,2,4,1101.0,32,4,6,0.0,0.0,14575.135,BigAndy,AVRO-2164,1,0,0,0,0.0,0.0,0.0
2018-03-22T18:10:17.320+0000,0.0,0.0,50661.042,5,4,83.0,13,1,0,13345962.778266668,5041660.064933333,18912935.398,busbey,AVRO-2163,1,0,0,0,4515989.346333333,2045887.564166667,6050436.915000001
2018-03-22T07:38:21.069+0000,0.0,0.0,697949.937,2,4,430.0,45,3,11,6739371.193365853,8716987.355439026,14033440.675956529,scott_carey,AVRO-2162,1,0,0,2,0.0,0.0,0.0
2018-03-17T14:57:46.044+0000,0.0,0.0,1030.347,2,4,614.0,34,1,1,0.0,0.0,165492.736,blachniet,AVRO-2161,2,0,0,0,0.0,0.0,0.0
2018-03-15T21:24:19.154+0000,0.0,0.0,3032210.719,6,6,2035.0,61,1,0,0.0,0.0,3032210.719,Prevost,AVRO-2160,1,0,0,3,0.0,0.0,0.0
2018-03-15T03:11:17.554+0000,0.0,0.0,0.0,3,4,6157.0,60,2,0,7243701.350000001,0.253,3621850.8015,howellbridger,AVRO-2159,1,0,0,0,0.0,0.0,0.0
2018-03-11T01:15:22.830+0000,0.0,0.0,0.0,3,2,837.0,26,1,0,0.0,0.0,165492.736,blachniet,AVRO-2158,1,0,0,0,0.0,0.0,0.0
2018-03-09T06:18:47.199+0000,469581.378,0.02,469581.39800000004,6,0,825.0,82,2,3,469581.378,0.02,469581.39800000004,maxenglander,AVRO-2157,3,2,0,2,469581.378,0.02,469581.39800000004
2018-03-07T01:43:27.422+0000,0.0,0.0,340287.169,3,4,332.0,44,2,2,0.0,0.0,165492.736,blachniet,AVRO-2156,2,0,0,1,0.0,0.0,0.0
2018-03-07T01:35:36.723+0000,0.0,0.0,320653.428,3,2,257.0,47,2,2,0.0,0.0,165492.736,blachniet,AVRO-2155,2,0,0,1,0.0,0.0,0.0
2018-03-05T18:43:59.681+0000,0.0,0.0,59815.715000000004,6,4,963.0,61,1,1,0.0,0.0,59815.715000000004,codemug,AVRO-2154,1,0,0,0,0.0,0.0,0.0
2018-03-03T16:26:37.097+0000,0.0,0.0,3190677.473,6,2,265.0,66,2,4,0.0,0.0,3190677.473,nicksbyman,AVRO-2153,2,0,0,3,0.0,0.0,0.0
2018-03-02T18:35:14.411+0000,267199.95800000004,2678.637,269878.59500000003,6,0,1118.0,63,3,5,267199.95800000004,2678.637,269878.59500000003,phaas,AVRO-2152,2,1,0,1,0.0,0.0,0.0
2018-02-28T12:40:19.343+0000,0.0,0.0,0.0,6,2,2045.0,51,1,0,0.0,0.0,0.0,xushichang,AVRO-2151,1,0,0,0,0.0,0.0,0.0
2018-02-22T19:18:00.936+0000,0.0,0.0,509.90000000000003,2,2,240.0,51,1,1,44419655.94171429,4103233.4420000007,31349754.21666667,zolyfarkas,AVRO-2150,1,0,0,0,0.0,0.0,0.0
2018-02-22T07:41:30.025+0000,0.0,0.0,31862.118000000002,2,4,2643.0,96,2,1,0.0,0.0,31862.118000000002,wojciech.sroka,AVRO-2149,1,0,0,0,0.0,0.0,0.0
2018-02-21T23:08:50.835+0000,0.0,0.0,560.791,2,6,868.0,60,1,1,0.0,0.0,560.791,ashsskum,AVRO-2148,1,0,0,0,0.0,0.0,0.0
2018-02-17T20:41:05.383+0000,1130652.982,1040.8110000000001,1131693.793,2,4,2736.0,81,3,6,1130652.982,1040.8110000000001,1131693.793,Tobi,AVRO-2147,3,3,0,3,1130652.982,1040.8110000000001,1131693.793
2018-02-16T17:39:17.786+0000,0.0,0.0,227254.26100000003,6,4,4651.0,46,2,1,0.0,0.0,227254.26100000003,laki,AVRO-2146,1,0,0,1,0.0,0.0,0.0
2018-02-14T09:53:26.581+0000,0.0,0.0,0.0,6,4,99.0,32,1,0,1345698.797,16.512500000000003,1994290.9725555554,nkollar,AVRO-2145,1,0,0,0,0.0,0.0,0.0
2018-02-12T16:12:41.548+0000,808810.469,0.016,808810.4850000001,2,4,753.0,66,3,6,672384.1640000001,0.0395,672384.2035000001,elmendavies,AVRO-2143,3,2,0,2,2619591.0243381313,9637790.732330939,13414836.621671282
