created,full_resolution_time,from_last_update,from_create_to_update,issue_type,priority,description_length,summary_length,watch_count,comment_count,reporter_mean_FRT,reporter_mean_FLU,reporter_mean_FCTU,reporter,key,num_of_trans,classes_by_frt,classes_by_flu,classes_by_fctu,assignee_mean_FRT,assignee_mean_FLU,assignee_mean_FCTU
2018-04-06T13:45:28.721+0000,1529370.0410000002,0.02,1529370.061,2,4,1062.0,75,1,0,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2169,2,3,0,3,0.0,0.0,0.0
2018-04-05T13:21:01.183+0000,1617216.1560000002,0.021,1617216.1770000001,6,4,272.0,64,1,1,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2168,2,3,0,3,0.0,0.0,0.0
2018-04-04T16:39:43.364+0000,1691672.465,0.02,1691672.485,6,4,674.0,53,1,0,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2167,2,3,0,3,0.0,0.0,0.0
2018-04-04T16:29:37.306+0000,1692180.229,0.021,1692180.25,6,4,1043.0,39,2,1,1632609.7227500002,0.0205,1632609.74325,jmukesh,AVRO-2166,2,3,0,3,0.0,0.0,0.0
2018-03-09T06:18:47.199+0000,469581.378,0.02,469581.39800000004,6,0,825.0,82,2,3,469581.378,0.02,469581.39800000004,maxenglander,AVRO-2157,3,2,0,2,469581.378,0.02,469581.39800000004
2018-03-02T18:35:14.411+0000,267199.95800000004,2678.637,269878.59500000003,6,0,1118.0,63,3,5,267199.95800000004,2678.637,269878.59500000003,phaas,AVRO-2152,2,1,0,1,0.0,0.0,0.0
2018-02-17T20:41:05.383+0000,1130652.982,1040.8110000000001,1131693.793,2,4,2736.0,81,3,6,1130652.982,1040.8110000000001,1131693.793,Tobi,AVRO-2147,3,3,0,3,1130652.982,1040.8110000000001,1131693.793
2018-02-12T16:12:41.548+0000,808810.469,0.016,808810.4850000001,2,4,753.0,66,3,6,672384.1640000001,0.0395,672384.2035000001,elmendavies,AVRO-2143,3,2,0,2,1945819.2326000002,15084.9666,1960904.1992000001
2018-01-18T09:09:35.958+0000,4075.891,0.035,4075.9260000000004,2,2,420.0,16,3,3,2978345.3860000004,1264079.8974166666,4242425.283416667,gszadovszky,AVRO-2133,3,0,0,0,3982094.9872500002,2159852.0315,6141947.018750001
2018-01-18T02:49:13.924+0000,3083836.889,17046.420000000002,3100883.3090000004,2,4,1096.0,66,5,15,3083836.889,17046.420000000002,3100883.3090000004,kdrakon,AVRO-2132,2,3,0,3,1945819.2326000002,15084.9666,1960904.1992000001
2018-01-16T03:29:26.908+0000,54250.431000000004,3318.324,57568.755000000005,5,4,651.0,76,2,2,54250.431000000004,3318.324,57568.755000000005,shabab,AVRO-2130,2,0,0,0,0.0,0.0,0.0
2018-01-03T12:17:52.782+0000,1727456.6760000002,83807.265,1811263.941,6,4,1140.0,50,5,17,1727456.6760000002,83807.265,1811263.941,bart,AVRO-2122,3,3,0,3,1727456.6760000002,83807.265,1811263.941
2017-12-18T11:55:31.686+0000,1290086.8350000002,0.058,1290086.8930000002,2,4,158.0,59,4,4,1290086.8350000002,0.058,1290086.8930000002,dsebastien,AVRO-2120,2,3,0,3,10537313.020615386,6116669.306807693,16653982.327423079
2017-12-14T10:13:17.491+0000,735291.5360000001,0.038,735291.574,2,4,237.0,40,3,6,1370064.9266190475,6135400.9613333335,7505465.88795238,nielsbasjes,AVRO-2119,2,2,0,2,10537313.020615386,6116669.306807693,16653982.327423079
2017-12-13T12:52:34.991+0000,811086.5120000001,4463141.068,5274227.58,6,4,,34,4,13,1370064.9266190475,6135400.9613333335,7505465.88795238,nielsbasjes,AVRO-2118,2,2,4,4,21623791.055200003,6625859.127600001,28249650.182800002
2017-12-12T13:15:21.428+0000,535957.859,0.063,535957.922,2,2,368.0,29,4,16,672384.1640000001,0.0395,672384.2035000001,elmendavies,AVRO-2115,2,2,0,2,535957.859,0.063,535957.922
2017-12-12T11:08:43.979+0000,292483.77,224789.377,517273.14700000006,2,2,3388.0,66,3,6,1370064.9266190475,6135400.9613333335,7505465.88795238,nielsbasjes,AVRO-2114,2,1,1,2,10537313.020615386,6116669.306807693,16653982.327423079
2017-12-08T18:15:08.745+0000,10008183.967,0.024,10008183.991,2,2,547.0,37,5,6,5022227.4645,0.0345,5022227.499,vimota,AVRO-2113,3,4,0,4,10514591.46,6812151.949333335,17326743.409333337
2017-12-05T10:18:17.431+0000,448.927,0.041,448.968,6,2,606.0,48,1,1,448.927,0.041,448.968,ambarishpande,AVRO-2110,2,0,0,0,0.0,0.0,0.0
2017-12-04T14:18:04.912+0000,2688176.176,0.14200000000000002,2688176.318,2,4,1001.0,36,6,6,2978345.3860000004,1264079.8974166666,4242425.283416667,gszadovszky,AVRO-2109,3,3,0,3,3982094.9872500002,2159852.0315,6141947.018750001
2017-11-23T11:25:03.145+0000,1224045.215,0.048,1224045.263,6,4,2279.0,59,2,2,1224045.215,0.048,1224045.263,darshanmehta2,AVRO-2107,2,3,0,3,0.0,0.0,0.0
