status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Open,Trivial,2017-10-26T11:16:05.067+0000,Wish,fernandosdemoraes,2017-10-25T17:21:00.685+0000,NA,0,AVRO,NA,1,AVRO-2100,643,40,1,NA,182.5766552
Resolved,Major,2017-09-15T06:47:51.905+0000,Wish,erikvanoosten,2017-09-14T12:01:45.679+0000,2017-09-15T06:47:51.867+0000,0,AVRO,NA,2,AVRO-2076,462,55,2,Not A Problem,223.0163401
Resolved,Major,2016-09-08T15:59:21.949+0000,Wish,shijinkui,2016-07-18T04:14:10.345+0000,2016-09-04T21:06:02.242+0000,0,AVRO,shijinkui,6,AVRO-1884,180,66,5,Fixed,598.4203469
Resolved,Minor,2016-04-02T09:13:54.957+0000,Wish,DrVirtual,2016-03-10T16:15:17.863+0000,2016-04-02T09:13:42.272+0000,0,AVRO,NA,5,AVRO-1809,558,65,3,Won't Fix,753.9150624
Patch Available,Minor,2017-03-18T19:10:29.901+0000,Wish,ahasha@gmail.com,2016-01-29T04:58:57.632+0000,NA,2,AVRO,NA,7,AVRO-1788,609,60,6,NA,574.1920888
Open,Major,2015-11-19T12:27:41.603+0000,Wish,dvdkruk,2015-11-13T09:35:24.560+0000,NA,0,AVRO,NA,0,AVRO-1757,478,55,1,NA,894.8999903
Closed,Major,2016-02-01T14:55:53.601+0000,Wish,dasch,2015-07-07T13:29:13.732+0000,2015-09-14T00:17:58.711+0000,0,AVRO,dasch,10,AVRO-1694,575,51,4,Fixed,814.677432
Resolved,Minor,2015-06-24T22:52:31.870+0000,Wish,jacopo.moronato,2015-06-12T09:53:03.516+0000,2015-06-24T22:52:31.835+0000,0,AVRO,rdblue,2,AVRO-1682,4599,27,3,Fixed,1036.346434
Resolved,Minor,2015-03-18T20:50:41.970+0000,Wish,alfonso.nishikawa,2014-11-26T11:24:59.646+0000,2014-12-03T13:35:44.357+0000,0,AVRO,NA,10,AVRO-1613,271,50,3,Not A Problem,1239.733094
Reopened,Major,2016-01-29T12:35:36.059+0000,Wish,wvanbergen,2014-08-05T13:35:09.216+0000,NA,0,AVRO,wvanbergen,22,AVRO-1559,334,25,8,NA,1023.614737
Open,Major,2014-02-24T04:08:52.857+0000,Wish,hammer,2014-02-24T04:08:52.857+0000,NA,1,AVRO,NA,0,AVRO-1464,NA,37,2,NA,1522.126746
Open,Minor,2016-06-02T10:52:28.179+0000,Wish,jkarp,2014-02-20T20:20:20.070+0000,NA,1,AVRO,NA,4,AVRO-1461,157,27,3,NA,1525.452126
Open,Major,2012-10-31T09:45:02.670+0000,Wish,sqs,2012-10-31T09:45:02.670+0000,NA,0,AVRO,NA,0,AVRO-1187,481,37,2,NA,2002.8933
Open,Major,2012-09-27T06:29:19.610+0000,Wish,sl.sy.ifm,2012-09-25T13:08:12.395+0000,NA,0,AVRO,NA,8,AVRO-1173,869,51,4,NA,2038.752215
Open,Major,2012-06-11T22:35:31.282+0000,Wish,dmicol_tid,2012-02-17T17:45:46.832+0000,NA,0,AVRO,NA,2,AVRO-1032,151,38,1,NA,2259.559456
Closed,Major,2016-03-03T08:10:46.549+0000,Wish,xiaoluye,2011-03-30T15:59:28.925+0000,2011-04-29T19:37:15.085+0000,1,AVRO,scott_carey,12,AVRO-791,440,102,1,Fixed,2546.498179
Closed,Major,2010-09-08T21:07:52.674+0000,Wish,hammer,2010-06-07T02:47:02.485+0000,2010-06-07T17:57:18.665+0000,0,AVRO,cutting,5,AVRO-566,430,69,1,Fixed,2786.419111
Closed,Major,2012-12-10T17:57:35.635+0000,Wish,brucem,2010-03-20T05:56:36.206+0000,2012-10-08T23:26:45.806+0000,1,AVRO,sqs,15,AVRO-485,330,28,11,Fixed,1962.551252
Closed,Major,2011-03-12T00:36:42.014+0000,Wish,plaes,2010-03-17T11:34:43.828+0000,2010-12-16T01:14:54.005+0000,0,AVRO,NA,5,AVRO-478,72,26,0,Not A Problem,2602.274095
Closed,Major,2010-03-22T23:22:19.041+0000,Wish,brucem,2010-03-16T08:38:24.259+0000,2010-03-18T17:12:53.247+0000,0,AVRO,massie,6,AVRO-477,186,9,1,Fixed,2956.32575
Open,Minor,2010-03-01T19:44:57.699+0000,Wish,jbellis,2010-03-01T19:41:58.494+0000,NA,0,AVRO,NA,0,AVRO-436,312,29,3,NA,2977.478766
Closed,Major,2009-09-16T22:31:46.361+0000,Wish,sbanacho,2009-08-18T20:35:13.683+0000,2009-08-18T22:29:30.782+0000,0,AVRO,cutting,1,AVRO-100,145,55,0,Fixed,3143.360851
