status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Open,Critical,2018-04-19T23:41:09.873+0000,Bug,Prevost,2018-03-15T21:24:19.154+0000,NA,0,AVRO,NA,0,AVRO-2160,2035,61,1,NA,41.40769134
Open,Critical,2018-02-21T23:18:11.626+0000,Improvement,ashsskum,2018-02-21T23:08:50.835+0000,NA,0,AVRO,NA,1,AVRO-2148,868,60,1,NA,63.33510246
Open,Critical,2018-02-14T13:04:59.622+0000,Bug,aukevanleeuwen,2018-02-01T07:52:18.313+0000,NA,1,AVRO,NA,2,AVRO-2139,1949,75,2,NA,83.97158999
Open,Critical,2018-01-28T23:36:30.867+0000,Bug,njrbalu,2018-01-28T23:36:30.867+0000,NA,0,AVRO,NA,0,AVRO-2136,284,55,1,NA,87.31588914
Open,Critical,2018-01-03T23:36:54.744+0000,Bug,flinkai,2018-01-03T23:36:54.744+0000,NA,0,AVRO,NA,0,AVRO-2123,3776,73,1,NA,112.3156128
Open,Critical,2017-10-16T09:42:21.447+0000,Bug,amrpinder,2017-10-16T09:41:57.232+0000,NA,0,AVRO,NA,0,AVRO-2096,1177,82,1,NA,191.8954452
Closed,Critical,2017-08-02T05:15:15.653+0000,Bug,sacharya,2017-08-01T19:07:01.308+0000,2017-08-02T05:15:10.241+0000,0,AVRO,sacharya,1,AVRO-2060,377,46,1,Fixed,267.0806485
Patch Available,Critical,2017-10-30T12:54:31.125+0000,Bug,SamSchlegel,2017-07-27T02:08:12.202+0000,NA,0,AVRO,SamSchlegel,3,AVRO-2058,842,53,3,NA,273.0957921
Open,Critical,2017-07-18T20:53:23.013+0000,Bug,zolyfarkas,2017-07-18T20:53:23.013+0000,NA,0,AVRO,NA,0,AVRO-2057,1374,60,1,NA,281.4291746
Patch Available,Critical,2017-10-05T00:19:25.809+0000,Improvement,tjwp,2017-06-12T17:14:09.843+0000,NA,0,AVRO,tjwp,1,AVRO-2039,332,37,2,NA,317.5794838
Open,Critical,2017-07-29T17:55:20.286+0000,Task,busbey,2017-04-10T14:09:05.934+0000,NA,0,AVRO,NA,0,AVRO-2020,1058,79,1,NA,380.7099279
Resolved,Critical,2017-04-12T03:22:15.369+0000,Bug,busbey,2017-03-28T14:44:20.228+0000,2017-04-12T03:22:15.332+0000,0,AVRO,NA,3,AVRO-2013,3433,29,1,Duplicate,379.1591238
Resolved,Critical,2017-12-23T07:44:42.527+0000,Bug,nielsbasjes,2016-12-01T11:20:02.363+0000,2016-12-17T11:03:37.393+0000,0,AVRO,nielsbasjes,4,AVRO-1967,198,59,3,Fixed,494.8387101
Resolved,Critical,2017-12-23T07:44:08.311+0000,Bug,nielsbasjes,2016-11-30T20:36:34.478+0000,2016-12-01T09:23:04.566+0000,0,AVRO,nielsbasjes,6,AVRO-1966,255,45,3,Fixed,510.9085352
Open,Critical,2017-03-28T16:39:45.591+0000,Bug,nielsbasjes,2016-09-22T14:59:16.860+0000,NA,3,AVRO,rdblue,3,AVRO-1924,910,28,4,NA,580.6750793
Resolved,Critical,2016-09-01T15:36:34.088+0000,Improvement,tarasbob,2016-08-04T19:34:21.250+0000,2016-08-31T23:23:35.747+0000,0,AVRO,cutting,21,AVRO-1895,636,41,7,Fixed,602.3248558
Resolved,Critical,2017-11-16T13:54:05.472+0000,Bug,Yibing,2016-07-17T23:45:30.140+0000,2017-10-27T14:48:09.857+0000,1,AVRO,Yibing,8,AVRO-1883,1269,82,7,Fixed,180.6827986
Resolved,Critical,2016-09-04T21:38:53.232+0000,Bug,torgebo,2016-07-04T21:11:43.811+0000,2016-09-04T21:38:22.488+0000,0,AVRO,torgebo,7,AVRO-1874,970,63,5,Fixed,598.3979268
Patch Available,Critical,2017-07-27T02:11:27.410+0000,Bug,mikkokupsu,2016-05-30T10:49:45.753+0000,NA,0,AVRO,NA,5,AVRO-1855,1728,86,3,NA,695.8479044
Open,Critical,2016-05-27T19:41:14.468+0000,Bug,dkaminsky,2016-05-27T19:24:27.852+0000,NA,0,AVRO,NA,4,AVRO-1854,742,41,3,NA,698.4909244
Resolved,Critical,2016-09-28T11:40:00.486+0000,Bug,HThulin,2016-05-25T07:24:41.100+0000,2016-09-27T15:06:57.168+0000,0,AVRO,zi,4,AVRO-1853,331,61,5,Fixed,575.6697455
Resolved,Critical,2017-02-10T04:48:37.245+0000,Bug,theturtle32,2016-05-19T22:22:05.101+0000,2016-09-04T01:01:10.651+0000,0,AVRO,theturtle32,5,AVRO-1848,1046,40,6,Fixed,599.2570898
Resolved,Critical,2016-05-14T20:51:41.059+0000,Bug,nielsbasjes,2016-05-13T14:01:17.555+0000,2016-05-14T20:51:41.031+0000,0,AVRO,nielsbasjes,1,AVRO-1845,243,65,2,Duplicate,711.430354
Patch Available,Critical,2016-09-12T17:15:09.590+0000,Improvement,rehevkor5,2016-05-10T19:23:37.745+0000,NA,0,AVRO,NA,3,AVRO-1843,816,54,4,NA,715.4634563
Patch Available,Critical,2016-09-12T17:13:06.442+0000,Bug,ryonday,2016-03-11T18:56:45.531+0000,NA,1,AVRO,Yibing,5,AVRO-1811,2714,109,6,NA,660.9913925
Resolved,Critical,2017-01-13T11:26:27.286+0000,Bug,gcmcnutt,2016-02-10T15:58:55.677+0000,2016-02-29T19:01:39.291+0000,0,AVRO,rdblue,8,AVRO-1799,356,70,5,Fixed,786.5067637
Open,Critical,2016-02-11T22:13:21.791+0000,Bug,HuaisiXu,2016-02-08T18:28:30.092+0000,NA,0,AVRO,NA,7,AVRO-1797,532,73,2,NA,807.5297874
Closed,Critical,2016-02-01T14:56:08.148+0000,Sub-task,vincentye38,2015-12-23T21:39:14.392+0000,2016-01-13T18:18:41.923+0000,0,AVRO,NA,4,AVRO-1773,410,38,2,Fixed,814.6772636
