status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
In Progress,2018-04-21T15:44:36.749+0000,,rlenferink,2018-04-17T21:53:05.730+0000,,rlenferink,Open,rlenferink,AVRO-2171,233,43,4.64360559,,AVRO,2018-04-17T21:53:05.730+0000,Non-existent to Open,,1,Major,0,Improvement,1,
In Progress,2018-04-21T15:44:36.749+0000,Open,rlenferink,2018-04-18T01:33:49.088+0000,0.153279606,busbey,Patch Available,rlenferink,AVRO-2171,233,43,4.64360559,0.153279606,AVRO,2018-04-17T21:53:05.730+0000,Open to Patch Available,,1,Major,0,Improvement,1,
In Progress,2018-04-21T15:44:36.749+0000,Patch Available,rlenferink,2018-04-21T15:44:36.753+0000,3.590829456,busbey,In Progress,rlenferink,AVRO-2171,233,43,4.64360559,3.744109063,AVRO,2018-04-17T21:53:05.730+0000,Patch Available to In Progress,,1,Major,0,Improvement,1,
In Progress,2018-04-21T15:42:40.935+0000,,rlenferink,2018-04-17T21:47:11.197+0000,,rlenferink,Open,rlenferink,AVRO-2170,528,68,4.644946044,,AVRO,2018-04-17T21:47:11.197+0000,Non-existent to Open,,1,Minor,0,Improvement,2,
In Progress,2018-04-21T15:42:40.935+0000,Open,rlenferink,2018-04-18T01:33:19.205+0000,0.15703713,busbey,Patch Available,rlenferink,AVRO-2170,528,68,4.644946044,0.15703713,AVRO,2018-04-17T21:47:11.197+0000,Open to Patch Available,,1,Minor,0,Improvement,2,
In Progress,2018-04-21T15:42:40.935+0000,Patch Available,rlenferink,2018-04-21T15:42:40.938+0000,3.589834873,busbey,In Progress,rlenferink,AVRO-2170,528,68,4.644946044,3.746872002,AVRO,2018-04-17T21:47:11.197+0000,Patch Available to In Progress,,1,Minor,0,Improvement,2,
Resolved,2018-04-24T06:34:58.782+0000,,jmukesh,2018-04-06T13:45:28.721+0000,,jmukesh,Open,,AVRO-2169,1062,75,2.025294993,,AVRO,2018-04-06T13:45:28.721+0000,Non-existent to Open,2018-04-24T06:34:58.762+0000,0,Major,0,Improvement,1,Not A Bug
Resolved,2018-04-24T06:34:58.782+0000,Open,jmukesh,2018-04-24T06:34:58.789+0000,17.70104245,jmukesh,Resolved,,AVRO-2169,1062,75,2.025294993,17.70104245,AVRO,2018-04-06T13:45:28.721+0000,Open to Resolved,2018-04-24T06:34:58.762+0000,0,Major,0,Improvement,1,Not A Bug
Resolved,2018-04-24T06:34:37.360+0000,,jmukesh,2018-04-05T13:21:01.183+0000,,jmukesh,Open,,AVRO-2168,272,64,2.0255429,,AVRO,2018-04-05T13:21:01.183+0000,Non-existent to Open,2018-04-24T06:34:37.339+0000,1,Major,0,Bug,1,Not A Bug
Resolved,2018-04-24T06:34:37.360+0000,Open,jmukesh,2018-04-24T06:34:37.370+0000,18.71777994,jmukesh,Resolved,,AVRO-2168,272,64,2.0255429,18.71777994,AVRO,2018-04-05T13:21:01.183+0000,Open to Resolved,2018-04-24T06:34:37.339+0000,1,Major,0,Bug,1,Not A Bug
