status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Open,Major,2018-03-23T08:14:38.362+0000,Task,busbey,2018-03-22T18:10:17.320+0000,NA,0,AVRO,sacharya,0,AVRO-2163,83,13,1,NA,34.54243479
Resolved,Major,2018-01-16T19:28:55.663+0000,Task,shabab,2018-01-16T03:29:26.908+0000,2018-01-16T18:33:37.339+0000,0,AVRO,NA,2,AVRO-2130,651,76,2,Fixed,99.52623039
Resolved,Minor,2017-10-27T14:14:18.687+0000,Task,busbey,2017-10-27T14:08:18.260+0000,2017-10-27T14:14:18.650+0000,0,AVRO,sacharya,3,AVRO-2102,NA,47,2,Fixed,180.7063078
Resolved,Major,2017-10-12T09:45:34.061+0000,Task,eliviu,2017-10-06T12:08:53.887+0000,2017-10-12T09:45:34.009+0000,0,AVRO,zi,5,AVRO-2088,955,63,2,Not A Bug,195.8929355
Resolved,Major,2018-02-21T22:10:49.831+0000,Task,busbey,2017-06-13T16:28:51.540+0000,2018-02-21T22:10:49.811+0000,0,AVRO,nielsbasjes,13,AVRO-2041,196,25,6,Fixed,63.37539196
Open,Trivial,2017-04-28T15:41:00.237+0000,Task,gaconnet,2017-04-28T15:41:00.237+0000,NA,0,AVRO,NA,0,AVRO-2030,701,76,1,NA,362.6461049
Resolved,Blocker,2017-07-20T05:45:03.706+0000,Task,busbey,2017-04-12T12:54:21.004+0000,2017-07-20T05:45:03.654+0000,0,AVRO,sacharya,12,AVRO-2023,1599,48,4,Fixed,280.0599536
Open,Critical,2017-07-29T17:55:20.286+0000,Task,busbey,2017-04-10T14:09:05.934+0000,NA,0,AVRO,NA,0,AVRO-2020,1058,79,1,NA,380.7099279
Closed,Major,2017-04-05T20:51:50.491+0000,Task,sacharya,2017-04-05T19:14:43.027+0000,2017-04-05T20:47:21.615+0000,0,AVRO,busbey,2,AVRO-2017,343,26,2,Fixed,385.4302454
Open,Major,2018-02-16T17:27:45.739+0000,Task,sacharya,2017-02-08T02:33:40.213+0000,NA,7,AVRO,NA,7,AVRO-1998,474,24,5,NA,442.1928645
Resolved,Major,2017-02-10T04:49:43.346+0000,Task,busbey,2017-01-28T11:24:29.712+0000,2017-02-10T04:49:43.304+0000,0,AVRO,busbey,7,AVRO-1992,76,19,4,Fixed,440.0983837
Resolved,Major,2017-01-27T22:41:56.390+0000,Task,zi,2017-01-11T13:09:12.830+0000,2017-01-27T22:41:56.346+0000,0,AVRO,zi,3,AVRO-1982,141,33,4,Fixed,453.3537882
Resolved,Major,2017-02-09T03:55:11.353+0000,Task,bharatviswa,2017-01-06T18:04:25.424+0000,2017-02-09T03:55:11.323+0000,0,AVRO,bharatviswa,3,AVRO-1978,107,32,2,Duplicate,441.136254
Resolved,Minor,2016-09-17T01:12:33.897+0000,Task,sacharya,2016-09-17T01:11:23.231+0000,2016-09-17T01:12:33.628+0000,0,AVRO,NA,1,AVRO-1920,529,35,1,Duplicate,586.2491686
Resolved,Minor,2016-09-26T22:36:28.924+0000,Task,sacharya,2016-09-17T01:11:13.580+0000,2016-09-26T22:36:26.498+0000,0,AVRO,sacharya,3,AVRO-1919,529,35,3,Fixed,576.3575774
Patch Available,Blocker,2017-02-15T03:28:01.107+0000,Task,busbey,2016-07-21T15:41:00.534+0000,NA,0,AVRO,sacharya,7,AVRO-1887,819,40,3,NA,435.155882
Resolved,Major,2018-03-22T18:10:42.338+0000,Task,busbey,2016-07-19T13:10:46.673+0000,2017-06-13T03:20:32.576+0000,0,AVRO,sacharya,28,AVRO-1885,83,13,11,Fixed,317.1603134
Resolved,Major,2016-04-17T23:07:07.626+0000,Task,rdblue,2016-02-04T20:46:37.578+0000,2016-04-17T23:07:07.565+0000,0,AVRO,rdblue,2,AVRO-1794,249,34,2,Fixed,738.3362974
Resolved,Major,2016-02-26T16:30:34.032+0000,Task,rdblue,2016-02-02T18:29:32.643+0000,2016-02-19T15:37:53.848+0000,0,AVRO,mtth,6,AVRO-1790,305,22,3,Fixed,796.6482616
Closed,Major,2016-02-01T14:56:04.710+0000,Task,rdblue,2015-12-03T21:56:41.297+0000,2015-12-04T19:48:27.486+0000,0,AVRO,rdblue,6,AVRO-1765,413,38,5,Fixed,814.6773033
Open,Major,2016-09-20T12:55:06.317+0000,Task,blessanabraham,2015-10-21T18:02:43.566+0000,NA,0,AVRO,NA,3,AVRO-1751,331,56,4,NA,917.547687
Closed,Blocker,2017-07-20T05:43:55.958+0000,Task,rdblue,2015-08-27T02:22:00.895+0000,2015-12-15T23:26:54.198+0000,0,AVRO,rdblue,41,AVRO-1722,121,20,7,Fixed,814.677461
Open,Critical,2016-04-22T16:09:18.270+0000,Task,tomwhite,2015-07-16T13:34:02.736+0000,NA,0,AVRO,NA,5,AVRO-1705,213,53,7,NA,1014.734271
Closed,Major,2016-02-03T19:15:56.367+0000,Task,rdblue,2015-07-06T17:56:42.256+0000,2015-07-14T14:09:04.485+0000,0,AVRO,rdblue,15,AVRO-1692,399,49,6,Fixed,814.6773396
Closed,Major,2017-10-13T00:53:13.528+0000,Task,rdblue,2015-03-31T21:09:47.740+0000,2015-03-31T21:13:50.740+0000,0,AVRO,NA,4,AVRO-1656,15,43,3,Fixed,814.6773536
Closed,Major,2016-02-01T14:56:05.093+0000,Task,tomwhite,2014-09-16T14:32:48.412+0000,2015-07-07T10:30:47.883+0000,0,AVRO,tomwhite,7,AVRO-1586,240,22,4,Fixed,814.6772991
Open,Major,2014-09-03T13:18:56.444+0000,Task,sslavic,2014-09-03T13:18:56.444+0000,NA,0,AVRO,NA,0,AVRO-1579,251,45,2,NA,1330.74476
Open,Major,2014-01-08T05:23:08.650+0000,Task,sudhirranjan,2014-01-07T13:04:03.755+0000,NA,0,AVRO,NA,3,AVRO-1429,1878,61,3,NA,1569.755093
Open,Trivial,2012-10-18T12:53:17.253+0000,Task,pradeepg26,2012-10-18T12:53:17.253+0000,NA,0,AVRO,NA,0,AVRO-1180,559,56,1,NA,2015.762576
Open,Critical,2017-01-28T10:37:29.786+0000,Task,jtyrrell,2012-07-13T04:11:46.009+0000,NA,21,AVRO,chonton,20,AVRO-1126,1103,21,29,NA,2113.124743
Open,Major,2012-06-27T12:19:57.898+0000,Task,billmcn,2011-09-03T21:03:20.218+0000,NA,5,AVRO,NA,3,AVRO-883,203,43,6,NA,2426.422264
Closed,Critical,2011-08-30T05:59:18.747+0000,Task,tucu00,2011-08-23T20:17:35.102+0000,2011-08-25T21:42:46.369+0000,0,AVRO,tucu00,2,AVRO-880,362,29,0,Fixed,2431.050057
Closed,Critical,2011-10-07T20:27:18.954+0000,Task,tucu00,2011-08-15T18:46:31.809+0000,2011-08-23T22:24:14.267+0000,0,AVRO,cutting,4,AVRO-876,448,51,0,Won't Fix,2392.447278
Closed,Minor,2011-05-06T19:18:37.362+0000,Task,alambert,2011-04-26T22:49:37.488+0000,2011-05-03T19:33:26.637+0000,0,AVRO,cutting,2,AVRO-811,184,37,0,Fixed,2546.494982
Closed,Major,2011-03-12T00:36:41.569+0000,Task,cutting,2011-01-08T00:35:55.064+0000,2011-01-12T21:07:19.544+0000,0,AVRO,cutting,1,AVRO-728,181,51,0,Fixed,2602.2741
Closed,Blocker,2011-03-12T00:32:50.211+0000,Task,scott_carey,2010-12-17T01:20:33.481+0000,2011-02-01T19:25:30.282+0000,0,AVRO,scott_carey,20,AVRO-716,357,60,0,Fixed,2602.276778
Open,Minor,2011-02-07T18:40:53.391+0000,Task,scott_carey,2010-12-17T01:17:30.004+0000,NA,0,AVRO,scott_carey,4,AVRO-715,211,86,0,NA,2687.245762
Closed,Major,2011-03-12T00:32:53.111+0000,Task,scott_carey,2010-12-17T01:14:07.014+0000,2011-01-28T05:30:56.071+0000,0,AVRO,scott_carey,2,AVRO-714,271,29,1,Fixed,2602.276744
