status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Open,Major,2018-03-15T03:11:17.554+0000,New Feature,howellbridger,2018-03-15T03:11:17.554+0000,NA,1,AVRO,NA,0,AVRO-2159,6157,60,2,NA,42.16673764
Open,Minor,2018-03-11T01:15:22.830+0000,New Feature,blachniet,2018-03-11T01:15:22.830+0000,NA,0,AVRO,NA,0,AVRO-2158,837,26,1,NA,46.24723213
Patch Available,Major,2018-03-11T00:14:54.591+0000,New Feature,blachniet,2018-03-07T01:43:27.422+0000,NA,0,AVRO,NA,2,AVRO-2156,332,44,2,NA,46.28922557
Patch Available,Minor,2018-03-10T18:39:50.151+0000,New Feature,blachniet,2018-03-07T01:35:36.723+0000,NA,0,AVRO,NA,2,AVRO-2155,257,47,2,NA,46.52191586
Open,Minor,2018-02-09T19:04:49.578+0000,New Feature,ecopoesis,2018-02-09T19:04:49.578+0000,NA,0,AVRO,NA,0,AVRO-2141,295,41,1,NA,75.50456146
Open,Minor,2017-10-20T13:57:56.842+0000,New Feature,thebothead,2017-10-20T13:23:54.929+0000,NA,0,AVRO,NA,1,AVRO-2098,2222,41,2,NA,187.7413051
Resolved,Major,2017-11-27T19:36:43.791+0000,New Feature,karthikus,2017-10-09T21:33:57.218+0000,2017-11-27T19:36:43.748+0000,0,AVRO,thiru_mg,5,AVRO-2095,4273,68,2,Not A Problem,149.482406
Open,Major,2017-10-17T07:57:16.025+0000,New Feature,zi,2017-10-05T15:20:33.579+0000,NA,0,AVRO,NA,0,AVRO-2087,1515,72,1,NA,202.6603023
Open,Minor,2018-01-29T14:24:23.073+0000,New Feature,nkollar,2017-09-18T12:05:04.906+0000,NA,2,AVRO,nkollar,6,AVRO-2077,333,69,4,NA,219.7960508
Resolved,Major,2017-09-12T12:39:08.161+0000,New Feature,gszadovszky,2017-07-28T07:26:54.109+0000,2017-09-12T12:39:08.100+0000,0,AVRO,gszadovszky,5,AVRO-2059,59,26,5,Fixed,225.7724019
Resolved,Minor,2017-04-03T23:37:26.255+0000,New Feature,wandersen02,2017-02-15T19:37:16.478+0000,2017-04-03T23:17:57.163+0000,0,AVRO,wandersen02,6,AVRO-2001,1196,56,5,Fixed,387.3287789
Open,Major,2016-12-30T21:57:22.479+0000,New Feature,martinxsliu,2016-12-30T20:29:19.621+0000,NA,1,AVRO,NA,1,AVRO-1974,427,33,2,NA,481.4458806
Open,Minor,2017-01-31T18:49:36.881+0000,New Feature,nielsbasjes,2016-11-22T10:58:36.068+0000,NA,3,AVRO,nielsbasjes,22,AVRO-1961,120,47,10,NA,519.842218
Open,Major,2016-09-19T18:38:08.950+0000,New Feature,jpivarski,2016-09-19T18:38:08.950+0000,NA,0,AVRO,NA,0,AVRO-1922,2062,25,2,NA,583.5230875
Patch Available,Major,2016-11-24T08:57:21.021+0000,New Feature,fboucher38,2016-08-30T14:13:31.455+0000,NA,0,AVRO,NA,3,AVRO-1903,817,48,2,NA,601.611511
Resolved,Major,2017-04-02T21:46:30.131+0000,New Feature,Yibing,2016-05-18T14:28:43.374+0000,2016-06-22T22:08:44.701+0000,0,AVRO,Yibing,63,AVRO-1847,296,69,5,Fixed,672.3768384
Open,Major,2018-03-29T23:54:35.612+0000,New Feature,abrar,2016-04-29T05:44:29.196+0000,NA,2,AVRO,NA,14,AVRO-1837,93,66,4,NA,727.0603533
Resolved,Major,2016-05-24T15:14:55.515+0000,New Feature,rdblue,2016-04-21T04:55:29.014+0000,2016-05-23T17:36:48.633+0000,0,AVRO,rdblue,7,AVRO-1833,90,13,6,Fixed,702.5656833
Patch Available,Major,2018-02-27T03:18:59.236+0000,New Feature,premsantosh,2016-03-28T18:01:43.220+0000,NA,1,AVRO,premsantosh,4,AVRO-1816,230,52,6,NA,452.8542092
Open,Minor,2016-01-26T22:37:16.420+0000,New Feature,djudd,2015-12-31T01:27:44.081+0000,NA,0,AVRO,NA,3,AVRO-1776,271,15,4,NA,847.2386533
Open,Minor,2017-12-10T14:26:49.511+0000,New Feature,embs,2015-10-14T18:32:53.556+0000,NA,2,AVRO,NA,6,AVRO-1749,338,81,4,NA,924.5267381
Resolved,Major,2017-02-21T09:18:08.683+0000,New Feature,jlangley,2015-10-14T03:09:45.122+0000,2017-02-21T09:18:08.621+0000,1,AVRO,jlangley,2,AVRO-1748,113,38,4,Fixed,428.9119796
