status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Resolved,Trivial,2018-03-14T16:45:08.597+0000,Bug,maxenglander,2018-03-09T06:18:47.199+0000,2018-03-14T16:45:08.577+0000,0,AVRO,maxenglander,3,AVRO-2157,825,82,2,Fixed,42.60156348
Resolved,Trivial,2018-03-05T21:33:13.006+0000,Bug,phaas,2018-03-02T18:35:14.411+0000,2018-03-05T20:48:34.369+0000,0,AVRO,NA,5,AVRO-2152,1118,63,3,Invalid,51.43251502
Patch Available,Trivial,2018-02-12T13:39:44.937+0000,Improvement,iemejia,2018-02-12T12:58:22.917+0000,NA,0,AVRO,iemejia,2,AVRO-2142,109,58,2,NA,72.73598542
Open,Trivial,2017-10-26T11:16:05.067+0000,Wish,fernandosdemoraes,2017-10-25T17:21:00.685+0000,NA,0,AVRO,NA,1,AVRO-2100,643,40,1,NA,182.5766552
Open,Trivial,2017-08-22T16:24:27.519+0000,Improvement,zolyfarkas,2017-08-22T16:24:27.519+0000,NA,0,AVRO,NA,0,AVRO-2068,1305,42,1,NA,246.615928
Resolved,Trivial,2017-09-01T13:46:20.092+0000,Bug,nkollar,2017-08-14T09:09:05.178+0000,2017-09-01T13:45:47.133+0000,0,AVRO,nkollar,5,AVRO-2066,150,60,3,Fixed,236.7261167
Resolved,Trivial,2017-08-14T09:32:23.620+0000,Improvement,belugabehr,2017-08-03T20:28:50.157+0000,2017-08-14T09:32:23.570+0000,0,AVRO,belugabehr,5,AVRO-2061,616,41,5,Fixed,254.902084
Resolved,Trivial,2017-09-12T14:00:10.719+0000,Improvement,belugabehr,2017-07-18T19:56:53.305+0000,2017-09-12T14:00:10.663+0000,0,AVRO,belugabehr,5,AVRO-2055,199,66,4,Fixed,225.7161222
Resolved,Trivial,2017-07-28T07:19:13.046+0000,Improvement,belugabehr,2017-07-18T19:06:05.667+0000,2017-07-28T07:19:13.007+0000,0,AVRO,belugabehr,5,AVRO-2054,653,41,4,Fixed,271.9945674
Resolved,Trivial,2017-09-12T13:59:55.683+0000,Improvement,belugabehr,2017-07-18T18:43:01.298+0000,2017-09-12T13:59:55.612+0000,0,AVRO,belugabehr,2,AVRO-2053,808,70,3,Fixed,225.7162962
Resolved,Trivial,2017-07-22T15:04:40.947+0000,Improvement,belugabehr,2017-07-17T23:02:45.645+0000,2017-07-22T15:04:40.890+0000,0,AVRO,belugabehr,6,AVRO-2052,906,59,2,Not A Problem,277.6713281
Resolved,Trivial,2017-07-28T07:18:43.296+0000,Improvement,belugabehr,2017-07-17T01:05:58.080+0000,2017-07-28T07:18:43.249+0000,0,AVRO,belugabehr,9,AVRO-2049,1519,52,4,Fixed,271.9949119
Open,Trivial,2017-05-01T20:43:20.337+0000,Improvement,zolyfarkas,2017-05-01T20:43:20.337+0000,NA,0,AVRO,NA,0,AVRO-2031,NA,47,1,NA,359.43615
Open,Trivial,2017-04-28T15:41:00.237+0000,Task,gaconnet,2017-04-28T15:41:00.237+0000,NA,0,AVRO,NA,0,AVRO-2030,701,76,1,NA,362.6461049
Resolved,Trivial,2017-02-07T03:02:34.427+0000,Bug,sacharya,2017-01-24T17:18:59.979+0000,2017-02-06T14:21:26.576+0000,0,AVRO,sacharya,5,AVRO-1987,154,58,5,Fixed,443.7013548
Open,Trivial,2016-11-30T01:36:28.431+0000,Improvement,evarga,2016-11-30T01:01:06.878+0000,NA,0,AVRO,NA,0,AVRO-1964,501,54,1,NA,512.2571392
Resolved,Trivial,2016-09-15T09:14:26.466+0000,Bug,nielsbasjes,2016-09-14T07:45:32.821+0000,2016-09-15T09:14:25.397+0000,0,AVRO,nielsbasjes,3,AVRO-1914,NA,37,3,Fixed,587.9145501
Resolved,Trivial,2016-04-16T03:16:51.773+0000,Improvement,wsfulton,2016-04-12T19:20:01.705+0000,2016-04-16T03:16:51.742+0000,0,AVRO,wsfulton,2,AVRO-1829,123,30,3,Fixed,740.1628696
