status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Open,2018-04-19T23:41:09.873+0000,NA,Prevost,2018-03-15T21:24:19.154+0000,NA,Prevost,Open,NA,AVRO-2160,2035,61,41.40769819,NA,AVRO,2018-03-15T21:24:19.154+0000,Non-existent to Open,NA,0,Critical,0,Bug,1,NA
Open,2018-02-21T23:18:11.626+0000,NA,ashsskum,2018-02-21T23:08:50.835+0000,NA,ashsskum,Open,NA,AVRO-2148,868,60,63.33510931,NA,AVRO,2018-02-21T23:08:50.835+0000,Non-existent to Open,NA,1,Critical,0,Improvement,1,NA
Open,2018-02-14T13:04:59.622+0000,NA,aukevanleeuwen,2018-02-01T07:52:18.313+0000,NA,aukevanleeuwen,Open,NA,AVRO-2139,1949,75,83.97159685,NA,AVRO,2018-02-01T07:52:18.313+0000,Non-existent to Open,NA,2,Critical,1,Bug,2,NA
Open,2018-01-28T23:36:30.867+0000,NA,njrbalu,2018-01-28T23:36:30.867+0000,NA,njrbalu,Open,NA,AVRO-2136,284,55,87.31589599,NA,AVRO,2018-01-28T23:36:30.867+0000,Non-existent to Open,NA,0,Critical,0,Bug,1,NA
Open,2018-01-03T23:36:54.744+0000,NA,flinkai,2018-01-03T23:36:54.744+0000,NA,flinkai,Open,NA,AVRO-2123,3776,73,112.3156197,NA,AVRO,2018-01-03T23:36:54.744+0000,Non-existent to Open,NA,0,Critical,0,Bug,1,NA
Open,2017-10-16T09:42:21.447+0000,NA,amrpinder,2017-10-16T09:41:57.232+0000,NA,amrpinder,Open,NA,AVRO-2096,1177,82,191.895452,NA,AVRO,2017-10-16T09:41:57.232+0000,Non-existent to Open,NA,0,Critical,0,Bug,1,NA
Closed,2017-08-02T05:15:15.653+0000,NA,sacharya,2017-08-01T19:07:01.308+0000,NA,sacharya,Open,sacharya,AVRO-2060,377,46,267.0806554,NA,AVRO,2017-08-01T19:07:01.308+0000,Non-existent to Open,2017-08-02T05:15:10.241+0000,1,Critical,0,Bug,1,Fixed
Closed,2017-08-02T05:15:15.653+0000,Open,sacharya,2017-08-02T05:15:10.299+0000,0.422326285,sacharya,Resolved,sacharya,AVRO-2060,377,46,267.0806554,0.422326285,AVRO,2017-08-01T19:07:01.308+0000,Open to Resolved,2017-08-02T05:15:10.241+0000,1,Critical,0,Bug,1,Fixed
Closed,2017-08-02T05:15:15.653+0000,Resolved,sacharya,2017-08-02T05:15:15.662+0000,6.21E-05,sacharya,Closed,sacharya,AVRO-2060,377,46,267.0806554,0.422388356,AVRO,2017-08-01T19:07:01.308+0000,Resolved to Closed,2017-08-02T05:15:10.241+0000,1,Critical,0,Bug,1,Fixed
Patch Available,2017-10-30T12:54:31.125+0000,NA,SamSchlegel,2017-07-27T02:08:12.202+0000,NA,SamSchlegel,Open,SamSchlegel,AVRO-2058,842,53,273.095799,NA,AVRO,2017-07-27T02:08:12.202+0000,Non-existent to Open,NA,3,Critical,0,Bug,3,NA
Patch Available,2017-10-30T12:54:31.125+0000,Open,SamSchlegel,2017-07-27T04:53:27.256+0000,0.114757569,SamSchlegel,Patch Available,SamSchlegel,AVRO-2058,842,53,273.095799,0.114757569,AVRO,2017-07-27T02:08:12.202+0000,Open to Patch Available,NA,3,Critical,0,Bug,3,NA
