status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Closed,Blocker,2017-10-13T00:54:48.825+0000,Sub-task,sacharya,2017-08-04T03:40:21.189+0000,2017-10-13T00:54:41.491+0000,0,AVRO,sacharya,1,AVRO-2062,53,28,1,Fixed,195.2615147
Open,Major,2016-03-03T08:12:35.079+0000,Sub-task,salmansaifi7,2016-03-03T08:12:33.185+0000,NA,0,AVRO,NA,0,AVRO-1805,NA,58,1,NA,783.9575293
Closed,Critical,2016-02-01T14:56:08.148+0000,Sub-task,vincentye38,2015-12-23T21:39:14.392+0000,2016-01-13T18:18:41.923+0000,0,AVRO,NA,4,AVRO-1773,410,38,2,Fixed,814.6772636
Closed,Major,2017-07-20T05:43:58.105+0000,Sub-task,rdblue,2015-12-21T18:16:07.299+0000,2016-01-06T12:07:15.438+0000,0,AVRO,rdblue,5,AVRO-1771,217,43,4,Fixed,814.6775112
Closed,Major,2017-07-20T05:43:50.841+0000,Sub-task,rdblue,2015-09-11T19:44:39.865+0000,2015-12-03T17:25:35.507+0000,0,AVRO,rdblue,4,AVRO-1736,NA,65,3,Fixed,814.6772793
Closed,Major,2017-07-20T05:43:49.793+0000,Sub-task,rdblue,2015-09-11T19:44:23.906+0000,2015-12-03T17:12:33.809+0000,0,AVRO,rdblue,4,AVRO-1735,NA,55,3,Fixed,814.6772875
Closed,Major,2016-02-01T14:55:47.718+0000,Sub-task,rdblue,2015-09-11T19:43:48.070+0000,2015-12-03T22:06:37.758+0000,0,AVRO,mtth,2,AVRO-1734,NA,64,1,Fixed,814.6775
Closed,Major,2017-07-20T05:43:47.693+0000,Sub-task,rdblue,2015-09-11T19:42:36.087+0000,2015-10-19T21:33:05.553+0000,0,AVRO,rdblue,6,AVRO-1733,NA,64,4,Fixed,814.6772752
Closed,Major,2017-07-20T05:43:46.650+0000,Sub-task,rdblue,2015-09-11T19:42:10.163+0000,2015-10-19T21:29:00.338+0000,0,AVRO,rdblue,6,AVRO-1732,NA,65,4,Fixed,814.6774444
Closed,Major,2017-07-20T05:43:48.730+0000,Sub-task,rdblue,2015-09-11T19:41:47.108+0000,2015-12-03T17:11:31.411+0000,0,AVRO,rdblue,4,AVRO-1731,NA,63,3,Fixed,814.6773685
Closed,Major,2017-07-20T05:43:52.903+0000,Sub-task,rdblue,2015-09-11T19:41:06.001+0000,2015-12-03T17:25:20.419+0000,0,AVRO,rdblue,6,AVRO-1730,NA,80,3,Fixed,814.677463
Closed,Major,2017-07-20T05:43:45.387+0000,Sub-task,rdblue,2015-09-11T19:38:36.792+0000,2015-10-19T21:28:30.155+0000,0,AVRO,rdblue,6,AVRO-1729,NA,52,4,Fixed,814.6772861
Closed,Major,2017-07-20T05:43:57.020+0000,Sub-task,rdblue,2015-09-11T19:37:59.693+0000,2015-12-15T23:26:36.949+0000,0,AVRO,rdblue,25,AVRO-1728,NA,57,5,Fixed,814.6773133
Closed,Blocker,2016-02-01T14:56:07.323+0000,Sub-task,rdblue,2015-09-11T19:37:10.019+0000,2015-12-03T17:53:30.946+0000,0,AVRO,rdblue,6,AVRO-1727,NA,57,3,Fixed,814.6772732
Patch Available,Major,2018-03-22T16:47:06.428+0000,Sub-task,tomwhite,2014-11-14T16:38:46.849+0000,NA,3,AVRO,gszadovszky,37,AVRO-1605,NA,38,11,NA,573.7392956
Closed,Major,2016-02-01T14:55:58.257+0000,Sub-task,busbey,2014-09-12T16:23:12.580+0000,2014-11-18T10:14:06.901+0000,0,AVRO,tomwhite,16,AVRO-1585,114,39,5,Fixed,814.6773779
Open,Major,2016-10-27T17:28:49.553+0000,Sub-task,jerrychenhf,2013-09-04T02:54:27.123+0000,NA,0,AVRO,NA,5,AVRO-1372,765,35,5,NA,1695.178433
Closed,Major,2011-10-07T20:23:20.241+0000,Sub-task,cutting,2011-10-05T20:52:29.870+0000,2011-10-07T19:28:49.301+0000,0,AVRO,NA,1,AVRO-909,541,92,0,Won't Fix,2392.450041
Closed,Major,2011-03-12T00:32:46.410+0000,Sub-task,scott_carey,2011-01-18T20:48:36.562+0000,2011-01-28T01:05:59.708+0000,0,AVRO,scott_carey,28,AVRO-737,428,54,0,Fixed,2602.276822
Closed,Major,2011-03-12T00:32:44.471+0000,Sub-task,cutting,2010-10-06T20:15:04.150+0000,2010-10-22T22:19:04.864+0000,0,AVRO,cutting,3,AVRO-678,72,31,0,Fixed,2602.276844
Closed,Major,2010-10-14T19:06:50.624+0000,Sub-task,pwendell,2010-08-26T23:19:35.753+0000,2010-08-27T23:34:55.463+0000,0,AVRO,pwendell,8,AVRO-636,NA,39,0,Fixed,2750.503162
Closed,Major,2011-12-13T19:06:50.515+0000,Sub-task,pwendell,2010-08-13T22:42:22.484+0000,2010-08-27T01:00:09.604+0000,0,AVRO,pwendell,4,AVRO-614,NA,25,0,Fixed,2602.274102
Closed,Major,2011-12-13T19:06:47.435+0000,Sub-task,pwendell,2010-08-13T17:49:02.960+0000,2010-08-23T06:58:43.637+0000,0,AVRO,pwendell,5,AVRO-613,NA,44,1,Fixed,2786.418915
Closed,Major,2013-05-02T02:29:29.767+0000,Sub-task,pwendell,2010-08-04T22:21:19.902+0000,2010-08-13T20:59:43.221+0000,0,AVRO,pwendell,10,AVRO-606,NA,42,0,Fixed,2786.418989
Closed,Major,2013-05-02T02:29:29.771+0000,Sub-task,pwendell,2010-07-12T22:48:51.598+0000,2010-08-13T17:47:13.558+0000,0,AVRO,pwendell,13,AVRO-595,NA,42,4,Fixed,2786.419035
Closed,Major,2011-12-13T19:06:51.236+0000,Sub-task,pwendell,2010-06-24T21:47:15.833+0000,2010-07-28T19:34:04.894+0000,0,AVRO,pwendell,10,AVRO-587,NA,39,1,Fixed,2786.419058
Closed,Major,2011-12-13T19:06:53.169+0000,Sub-task,pwendell,2010-06-23T21:37:25.593+0000,2010-06-24T22:05:19.303+0000,0,AVRO,pwendell,8,AVRO-584,NA,33,0,Fixed,2786.419067
Closed,Major,2011-12-13T19:06:49.533+0000,Sub-task,pwendell,2010-06-17T03:21:43.091+0000,2010-06-24T21:59:06.427+0000,0,AVRO,NA,0,AVRO-579,NA,55,1,Duplicate,2800.506663
Closed,Major,2010-09-08T21:07:54.525+0000,Sub-task,pwendell,2010-06-15T21:59:41.497+0000,2010-06-26T00:05:08.680+0000,0,AVRO,pwendell,15,AVRO-578,466,35,1,Fixed,2786.419089
Closed,Major,2012-09-25T21:24:32.030+0000,Sub-task,brucem,2010-05-25T08:37:42.033+0000,2012-04-28T19:44:26.620+0000,0,AVRO,brucem,3,AVRO-552,NA,25,0,Fixed,2038.407544
Closed,Blocker,2011-03-12T00:32:54.497+0000,Sub-task,owen.omalley,2010-05-18T23:12:28.636+0000,2010-12-16T00:40:55.671+0000,1,AVRO,scott_carey,12,AVRO-545,100,39,2,Duplicate,2602.276728
Closed,Major,2011-11-01T18:36:01.372+0000,Sub-task,brucem,2010-03-16T08:11:37.699+0000,2011-10-15T14:11:21.422+0000,0,AVRO,dcreager,2,AVRO-475,221,33,0,Won't Fix,2367.524566
Closed,Major,2011-11-01T18:35:56.532+0000,Sub-task,brucem,2010-03-16T08:10:16.822+0000,2011-10-15T14:08:59.080+0000,0,AVRO,dcreager,2,AVRO-474,107,22,0,Fixed,2367.524621
Closed,Major,2011-11-01T18:36:03.819+0000,Sub-task,brucem,2010-03-16T08:07:25.294+0000,2011-10-15T14:09:40.121+0000,0,AVRO,dcreager,3,AVRO-473,53,47,0,Won't Fix,2367.524537
