status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Open,2018-03-23T08:14:38.362+0000,NA,busbey,2018-03-22T18:10:17.320+0000,NA,busbey,Open,sacharya,AVRO-2163,83,13,34.54244163,NA,AVRO,2018-03-22T18:10:17.320+0000,Non-existent to Open,NA,0,Major,0,Task,1,NA
Resolved,2018-01-16T19:28:55.663+0000,NA,shabab,2018-01-16T03:29:26.908+0000,NA,shabab,Open,NA,AVRO-2130,651,76,99.52623724,NA,AVRO,2018-01-16T03:29:26.908+0000,Non-existent to Open,2018-01-16T18:33:37.339+0000,2,Major,0,Task,2,Fixed
Resolved,2018-01-16T19:28:55.663+0000,Open,shabab,2018-01-16T18:33:37.384+0000,0.627899028,shabab,Resolved,NA,AVRO-2130,651,76,99.52623724,0.627899028,AVRO,2018-01-16T03:29:26.908+0000,Open to Resolved,2018-01-16T18:33:37.339+0000,2,Major,0,Task,2,Fixed
Resolved,2017-10-27T14:14:18.687+0000,NA,busbey,2017-10-27T14:08:18.260+0000,NA,busbey,Open,sacharya,AVRO-2102,NA,47,180.7063147,NA,AVRO,2017-10-27T14:08:18.260+0000,Non-existent to Open,2017-10-27T14:14:18.650+0000,3,Minor,0,Task,2,Fixed
Resolved,2017-10-27T14:14:18.687+0000,Open,busbey,2017-10-27T14:14:18.698+0000,0.004171736,busbey,Resolved,sacharya,AVRO-2102,NA,47,180.7063147,0.004171736,AVRO,2017-10-27T14:08:18.260+0000,Open to Resolved,2017-10-27T14:14:18.650+0000,3,Minor,0,Task,2,Fixed
Resolved,2017-10-12T09:45:34.061+0000,NA,eliviu,2017-10-06T12:08:53.887+0000,NA,eliviu,Open,zi,AVRO-2088,955,63,195.8929424,NA,AVRO,2017-10-06T12:08:53.887+0000,Non-existent to Open,2017-10-12T09:45:34.009+0000,5,Major,0,Task,2,Not A Bug
Resolved,2017-10-12T09:45:34.061+0000,Open,eliviu,2017-10-12T09:45:34.067+0000,5.900465046,zi,Resolved,zi,AVRO-2088,955,63,195.8929424,5.900465046,AVRO,2017-10-06T12:08:53.887+0000,Open to Resolved,2017-10-12T09:45:34.009+0000,5,Major,0,Task,2,Not A Bug
Resolved,2018-02-21T22:10:49.831+0000,NA,busbey,2017-06-13T16:28:51.540+0000,NA,busbey,Open,nielsbasjes,AVRO-2041,196,25,63.37539887,NA,AVRO,2017-06-13T16:28:51.540+0000,Non-existent to Open,2018-02-21T22:10:49.811+0000,13,Major,0,Task,6,Fixed
Resolved,2018-02-21T22:10:49.831+0000,Open,busbey,2018-02-21T22:10:49.833+0000,253.2374802,nielsbasjes,Resolved,nielsbasjes,AVRO-2041,196,25,63.37539887,253.2374802,AVRO,2017-06-13T16:28:51.540+0000,Open to Resolved,2018-02-21T22:10:49.811+0000,13,Major,0,Task,6,Fixed
Open,2017-04-28T15:41:00.237+0000,NA,gaconnet,2017-04-28T15:41:00.237+0000,NA,gaconnet,Open,NA,AVRO-2030,701,76,362.6461118,NA,AVRO,2017-04-28T15:41:00.237+0000,Non-existent to Open,NA,0,Trivial,0,Task,1,NA
Resolved,2017-07-20T05:45:03.706+0000,NA,busbey,2017-04-12T12:54:21.004+0000,NA,busbey,Open,sacharya,AVRO-2023,1599,48,280.0599605,NA,AVRO,2017-04-12T12:54:21.004+0000,Non-existent to Open,2017-07-20T05:45:03.654+0000,12,Blocker,0,Task,4,Fixed
Resolved,2017-07-20T05:45:03.706+0000,Open,busbey,2017-05-05T03:08:31.381+0000,22.59317566,sacharya,Patch Available,sacharya,AVRO-2023,1599,48,280.0599605,22.59317566,AVRO,2017-04-12T12:54:21.004+0000,Open to Patch Available,2017-07-20T05:45:03.654+0000,12,Blocker,0,Task,4,Fixed
Resolved,2017-07-20T05:45:03.706+0000,Patch Available,busbey,2017-07-20T05:45:03.708+0000,76.10870749,sacharya,Resolved,sacharya,AVRO-2023,1599,48,280.0599605,98.70188315,AVRO,2017-04-12T12:54:21.004+0000,Patch Available to Resolved,2017-07-20T05:45:03.654+0000,12,Blocker,0,Task,4,Fixed
Open,2017-07-29T17:55:20.286+0000,NA,busbey,2017-04-10T14:09:05.934+0000,NA,busbey,Open,NA,AVRO-2020,1058,79,380.7099348,NA,AVRO,2017-04-10T14:09:05.934+0000,Non-existent to Open,NA,0,Critical,0,Task,1,NA
Closed,2017-04-05T20:51:50.491+0000,NA,sacharya,2017-04-05T19:14:43.027+0000,NA,sacharya,Open,busbey,AVRO-2017,343,26,385.4302523,NA,AVRO,2017-04-05T19:14:43.027+0000,Non-existent to Open,2017-04-05T20:47:21.615+0000,2,Major,0,Task,2,Fixed
Closed,2017-04-05T20:51:50.491+0000,Open,sacharya,2017-04-05T19:15:15.030+0000,0.000370405,sacharya,Patch Available,busbey,AVRO-2017,343,26,385.4302523,0.000370405,AVRO,2017-04-05T19:14:43.027+0000,Open to Patch Available,2017-04-05T20:47:21.615+0000,2,Major,0,Task,2,Fixed
